study_id,expr_key,expr_md5,expr_size,meta_key,meta_md5,meta_size
BLCA_BCAN_HCRN,BLCA_BCAN_HCRN_Expr.txt,md5:b9b06d5b56b1dfe9308dcd7dd18e5c68,27517783,BLCA_BCAN_HCRN_Clinical.txt,md5:402f56939abf566985f1054ff2c8acea,24472
BLCA_BCAN_HCRN_DisTypeMIBC_NodalNo_Metunknown_SampSourceunknown,BLCA_BCAN_HCRN_DisTypeMIBC_NodalNo_Metunknown_SampSourceunknown_Expression.txt,md5:ee4a96d582426abb20cd8211131c359b,12947934,BLCA_BCAN_HCRN_DisTypeMIBC_NodalNo_Metunknown_SampSourceunknown_Clinical.txt,md5:b506a263a207c111170a9bbf9018a6af,13675
BLCA_BCAN_HCRN_DisTypeMIBC_NodalYes_Metunknown_SampSourceunknown,BLCA_BCAN_HCRN_DisTypeMIBC_NodalYes_Metunknown_SampSourceunknown_Expression.txt,md5:37050ca82f8cfb07099611c218e9f77d,12687782,BLCA_BCAN_HCRN_DisTypeMIBC_NodalYes_Metunknown_SampSourceunknown_Clinical.txt,md5:f49c7e4ce10bdaa70f3fd2b368804661,13085
BLCA_BCAN_HCRN_NodNeg,BLCA_BCAN_HCRN_NodNeg_Expr.txt,md5:2c1694878cd7dba99c7900cf516f1cdf,14621727,BLCA_BCAN_HCRN_NodNeg_Clinical.txt,md5:10fb4c78260e086a9b0a6bd46665ee86,13315
BLCA_BCAN_HCRN_NodPos_NeoNeg,BLCA_BCAN_HCRN_NodPos_NeoNeg_Expr.txt,md5:78b1eb2bed96404f9f9c0b785b721ff2,8103631,BLCA_BCAN_HCRN_NodPos_NeoNeg_Clinical.txt,md5:7433394ffe1de45772add4ee72ae427b,7619
BLCA_BCAN_HCRN_NodPos_NeoPos,BLCA_BCAN_HCRN_NodPos_NeoPos_Expr.txt,md5:a436d53eb1b5d1793735e15629a26604,5921590,BLCA_BCAN_HCRN_NodPos_NeoPos_Clinical.txt,md5:44a256ca654165d7de23c9165d0fb956,5487
GSE128701,GSE128701.expr_matrix_v2.txt,md5:35823f5454c396881672eaa51b465a01,72205084,GSE128701_Meta_20240515.txt,md5:96519e4a11d1b14d5e8dfcf5fa9e871a,41729
GSE13507,GSE13507.expr_matrix.txt,md5:24af1ba20cbbad880f1fcb2a783dad9d,104313587,GSE13507_Meta_20240515.txt,md5:5b83a2e2cf003215d1e1d6c8bdc64ef0,59738
GSE13507_DisTypeMIBC_NodalNo_MetNo_SampSourceCystectomy,GSE13507_DisTypeMIBC_NodalNo_MetNo_SampSourceCystectomy_Expression.txt,md5:3ce42b6bdd43c7b3975ed712ac91840d,18544950,GSE13507_DisTypeMIBC_NodalNo_MetNo_SampSourceCystectomy_Clinical.txt,md5:67ba07549a6fa5e31bb516becebd52ef,14573
GSE13507_DisTypeNMIBC_NodalNo_MetNo_SampSourceTURBT,GSE13507_DisTypeNMIBC_NodalNo_MetNo_SampSourceTURBT_Expression.txt,md5:6bb4fb10e991bdd716f5ba1218b7bb19,42119143,GSE13507_DisTypeNMIBC_NodalNo_MetNo_SampSourceTURBT_Clinical.txt,md5:a63eb2fb7851dc3b8242745192007e9e,31941
GSE2109,GSE2109.expr_matrix.txt,md5:dd63d57a86e53dc89f42a4675aafd8a2,293829396,GSE2109_Meta_20240515.txt,md5:c9264e1fbe03f3f6484fa3a44f7c4fb9,9561
GSE31189,GSE31189.expr_matrix.txt,md5:dbe93a1123f96313adb9f7b632860198,17348586,GSE31189_Meta_20240515.txt,md5:7269ef43325a553097166c5b96fc53d6,18597
GSE31684,GSE31684.expr_matrix.txt,md5:02369651296761cf122069be5da72aa5,37302738,GSE31684_Meta_20240515.txt,md5:d8ff0007b6d5ba3694beee54184729cc,32356
GSE31684_DisTypeMIBC_NodalNo_MetNo_SampSourceCystectomy,GSE31684_DisTypeMIBC_NodalNo_MetNo_SampSourceCystectomy_Expression.txt,md5:4d42a5f2a2ad86f7ed2fa7a6fe3ab8a2,16206485,GSE31684_DisTypeMIBC_NodalNo_MetNo_SampSourceCystectomy_Clinical.txt,md5:f25a5e0ae4c54e1068b02191208528da,13942
GSE31684_DisTypeMIBC_NodalYes_MetNo_SampSourceCystectomy,GSE31684_DisTypeMIBC_NodalYes_MetNo_SampSourceCystectomy_Expression.txt,md5:4833ca0e41d686af37f2f48d6aafb3dd,11430544,GSE31684_DisTypeMIBC_NodalYes_MetNo_SampSourceCystectomy_Clinical.txt,md5:4469a1f995d1e74699b9178be41cbd20,10047
GSE32548,GSE32548.expr_matrix.txt,md5:0dc9d56297ed353007ef0354069c9478,55832560,GSE32548_Meta_20240515.txt,md5:f5e2e82796d7bbd021b41a12301fdc6e,5513
GSE32894,GSE32894.expr_matrix.txt,md5:664580522a24208655784efe71a85e04,90860979,GSE32894_Meta_20240515.txt,md5:a82d8770dc5525b45fdf2aff42beb5ae,107090
GSE32894_DisTypeMIBC_NodalNo_Metunknown_SampSourceTURBT,GSE32894_DisTypeMIBC_NodalNo_Metunknown_SampSourceTURBT_Expression.txt,md5:103ae20656f7989c9de5e1d5c2428148,8124192,GSE32894_DisTypeMIBC_NodalNo_Metunknown_SampSourceTURBT_Clinical.txt,md5:bcac6b00d1f3149a1ee7f29349f0da8e,10253
GSE32894_DisTypeMIBC_NodalYes_Metunknown_SampSourceTURBT,GSE32894_DisTypeMIBC_NodalYes_Metunknown_SampSourceTURBT_Expression.txt,md5:f8636bc0dc1bf7652593e6f490b5c342,6058840,GSE32894_DisTypeMIBC_NodalYes_Metunknown_SampSourceTURBT_Clinical.txt,md5:a552a0c0f3dd96387319a90f7d7e0f49,7791
GSE32894_DisTypeMIBC_Nodalunknown_Metunknown_SampSourceTURBT,GSE32894_DisTypeMIBC_Nodalunknown_Metunknown_SampSourceTURBT_Expression.txt,md5:d097988391b0b4bfb15071ebaf2d3407,13718846,GSE32894_DisTypeMIBC_Nodalunknown_Metunknown_SampSourceTURBT_Clinical.txt,md5:3b997524be295fd5ee276a9984986f6d,15132
GSE32894_DisTypeNMIBC_NodalNo_Metunknown_SampSourceTURBT,GSE32894_DisTypeNMIBC_NodalNo_Metunknown_SampSourceTURBT_Expression.txt,md5:a1e5255769a58d1979e67a98f9e38c7f,6648797,GSE32894_DisTypeNMIBC_NodalNo_Metunknown_SampSourceTURBT_Clinical.txt,md5:12a0104af56c1477ace3c91bea7c693d,8026
GSE32894_DisTypeNMIBC_Nodalunknown_Metunknown_SampSourceTURBT,GSE32894_DisTypeNMIBC_Nodalunknown_Metunknown_SampSourceTURBT_Expression.txt,md5:cc2d9bf52682b6d3f82aa9bf8c86f780,55801678,GSE32894_DisTypeNMIBC_Nodalunknown_Metunknown_SampSourceTURBT_Clinical.txt,md5:0fdc08223d1879bae0e43e72e7ec6373,64566
GSE38264,GSE38264.expr_matrix.txt,md5:12deffdc0322406ecac96d2f65c14d6e,15649498,GSE38264_Meta_20240515.txt,md5:f18696129dc5734ea12a51704865ffb5,9722
GSE48075,GSE48075.expr_matrix.txt,md5:a3caba757a065a51953323e5bb48ff0e,60595754,GSE48075_Meta_20240515.txt,md5:0230e4701a864e86adc6f36bd71b9690,45159
GSE48075_DisTypeMIBC_NodalNo_MetNo_SampSourceunknown,GSE48075_DisTypeMIBC_NodalNo_MetNo_SampSourceunknown_Expression.txt,md5:9a0624304f7c3946eca53617a8dbe916,20231799,GSE48075_DisTypeMIBC_NodalNo_MetNo_SampSourceunknown_Clinical.txt,md5:c3393d6e9efc9824d337a4c9f293491b,14737
GSE48075_DisTypeMIBC_NodalYes_MetNo_SampSourceunknown,GSE48075_DisTypeMIBC_NodalYes_MetNo_SampSourceunknown_Expression.txt,md5:4f092e84a38b81c069412790fe788e88,9184678,GSE48075_DisTypeMIBC_NodalYes_MetNo_SampSourceunknown_Clinical.txt,md5:f464da12032244c397c8a0943f586ccc,6983
GSE48075_DisTypeNMIBC_NodalNo_MetNo_SampSourceunknown,GSE48075_DisTypeNMIBC_NodalNo_MetNo_SampSourceunknown_Expression.txt,md5:91f46b390fa2ab20832869c5bb0a4f88,25755140,GSE48075_DisTypeNMIBC_NodalNo_MetNo_SampSourceunknown_Clinical.txt,md5:f7a5394c6e9a72e9ee2e63d86fee80d3,18514
GSE48276,GSE48276.expr_matrix.txt,md5:131f25912664d0c91a5f218fe37957d3,28790193,GSE48276_Meta_20240515.txt,md5:2f021249942dcc0d2c20e58413e7999e,38501
GSE48276_DisTypeMIBC_NodalNo_MetNo_SampSourceTURBT,GSE48276_DisTypeMIBC_NodalNo_MetNo_SampSourceTURBT_Expression.txt,md5:c1ac91caa32df778f13e7e8ae0add437,16714773,GSE48276_DisTypeMIBC_NodalNo_MetNo_SampSourceTURBT_Clinical.txt,md5:23256e62e6dcab2c34d53ff5a9e52ab8,21519
GSE52329,GSE52329.expr_matrix.txt,md5:1ffacf36d75534344968d7f97a5f9a0c,5150359,GSE52329_Meta_20240515.txt,md5:248d4694b26e7b308feaea45fb2b5763,7685
GSE57813,GSE57813.expr_matrix.txt,md5:93c598744f9d72a8a15f289cb1122ac3,7586708,GSE57813_Meta_20240515.txt,md5:54c41900b695f9396a034503fb574ddd,7619
GSE69795,GSE69795.expr_matrix.txt,md5:00cc6aead2044bfa73ada3762eb57824,7140361,GSE69795_Meta_20240515.txt,md5:8b5ddaa4a3147dd9aa1bffb209889f0a,16588
GSE69795_DisTypeMIBC_NodalNo_MetNo_SampSourceTURBT,GSE69795_DisTypeMIBC_NodalNo_MetNo_SampSourceTURBT_Expression.txt,md5:55115bf279bf30c80b5408f74969ab11,2590906,GSE69795_DisTypeMIBC_NodalNo_MetNo_SampSourceTURBT_Clinical.txt,md5:e9c5198168b873ec41321076e48f2cbf,7527
GSE69795_DisTypeunknown_NodalNo_MetNo_SampSourceCystectomy,GSE69795_DisTypeunknown_NodalNo_MetNo_SampSourceCystectomy_Expression.txt,md5:bbe6e09fd55ce49affdf7ada880c4954,2819053,GSE69795_DisTypeunknown_NodalNo_MetNo_SampSourceCystectomy_Clinical.txt,md5:a484bea91c1010b7593444d9679c5083,8404
GSE70691,GSE70691.expr_matrix.txt,md5:a6f0683981b6eac13e34397b09061d3c,5737130,GSE70691_Meta_20240515.txt,md5:0fb266cdd319b6566f014d386bd35215,9663
GSE70691_DisTypeMIBC_NodalNo_MetNo_SampSourceunknown,GSE70691_DisTypeMIBC_NodalNo_MetNo_SampSourceunknown_Expression.txt,md5:c343f2df9825554f1dd2d5398cd49bd0,3253418,GSE70691_DisTypeMIBC_NodalNo_MetNo_SampSourceunknown_Clinical.txt,md5:7b0a2a954b335983033ebf7b36802fc2,9215
GSE71576,GSE71576.expr_matrix.txt,md5:339383baef3c953584870c7e708c0c8c,17555527,GSE71576_Meta_20240515.txt,md5:a3cca786325b3d9e6c1e816ba9919f2d,14946
GSE83586,GSE83586.expr_matrix.txt,md5:61eb7aed50fa7b8f81376b9e1d668e47,107091080,GSE83586_Meta_20240515.txt,md5:eb0c35393d360953d06d4efbf01567cc,99989
GSE86411,GSE86411.expr_matrix.txt,md5:6c0cf044ab401df9f529333c90799ea0,46617176,GSE86411_Meta_20240515.txt,md5:6323533954a95231fbe796bca22fa555,44484
